GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,AVG_VMT,OPEN_SPACE_PER_1000,Sfperc,Mfperc,MIXperc,COMMperc,INSTperc,INDperc,TRANSperc,Agperc,OPENperc,VACperc,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct
Albany Park,57655,51542,51992,13299,14031,11658,8134,2603,1573,694,33.66573315,15608,24927,2401,7536,1520,41342,29224,27098,2060,12118,919,25715,34480,7441,8478,5094,1843,7581,4043,3508,3664,3032,2193,2326,1840,58128.20513,16563,6738,9825,1677,18240,921,2652,2284,796,289763.289,11783.64945,1.660925123,0.246409856,0.240430963,0.028084954,0.06104993,0.043773182,0.016424311,0.336509071,0,0.022863511,0.004454222,26580,21813,48393,17232,31161,16221,17232,20908,968,245,2027,767,694,1784,3084,684,1,1,0.390574246,0.807083937
Archer Heights,12644,13393,13142,4017,2827,2925,1818,970,323,261,33.3543923,2213,10181,115,581,52,9871,6561,5956,605,3310,109,5659,8184,2357,3103,1415,309,762,239,880,1197,769,385,520,143,46632.12435,3894,2110,1784,391,4285,473,1471,147,10,177516.7785,13482.20221,1.504478182,0.13128986,0.05359536,0.014158406,0.041067889,0.029570743,0.259857034,0.432999822,0,0.011688034,0.025772852,7013,5207,12220,2211,10009,4234,2211,8535,959,424,30,23,0,0,38,0,1,0.796716085,0.159881895,0.805830495
Armour Square,12032,13391,13455,2634,2816,2376,2522,1540,1097,470,43.83373934,1728,538,1218,9832,138,11580,6620,5849,772,4960,183,5492,9996,3351,3043,944,391,1397,869,2496,1038,599,316,549,210,26466.21622,5209,1927,3280,517,5724,233,858,686,144,279523.8095,7679.484439,2.176483779,0.088038951,0.124307243,0.015466033,0.1404289,0.01764803,0.028293562,0.539095548,0,0.023562312,0.023159421,5029,7813,12842,3912,8930,6578,3912,268,47,8312,1,0,5,86,209,1,1,1,0.265896451,0.798455
Ashburn,39584,41081,43792,12999,8377,9200,8567,3031,999,619,35.87248322,4745,16924,20837,315,971,33341,22287,19383,2904,11054,409,18354,27420,4202,8428,6463,2617,3727,1983,1988,2489,2903,2080,2393,1129,66560.12658,12982,10946,2036,630,13612,4296,6257,273,105,162994.4444,17837.27574,2.024588915,0.407639992,0.013189115,0.003171254,0.04253106,0.058748866,0.033380791,0.344561865,0,0.083565344,0.013211711,33776,7216,40992,26924,14068,4598,26924,12510,177,44,92,554,0,75,361,255,0.792998452,0.621942666,0.303683443,0.787867197
Auburn Gresham,55928,48743,46278,11696,9176,7871,9857,3810,2966,902,39.77464195,324,862,44435,143,514,37125,20714,16330,4376,16411,697,15311,31343,5224,9744,9357,2187,3003,1828,7036,4348,2714,1404,1151,458,31694.19134,17111,7389,9722,3503,20614,4456,2785,132,11,133976.5101,10588.32037,1.732237832,0.331737428,0.132438182,0.009182224,0.037528885,0.045228179,0.022758614,0.345926609,0,0.024603967,0.050595911,42865,839,43704,42947,757,191,42947,430,8,0,17,0,11,38,177,76,0.983346819,0.995529309,0.223909645,0.698409158
Austin,117527,98514,95260,26485,20778,17210,18261,7751,3738,1037,35.31122795,4403,12398,76989,483,987,74018,41036,34730,6306,32982,1059,32898,60916,12960,21367,13443,4541,5641,2964,12616,8389,4507,2695,2371,1188,32843.04285,31766,12886,18880,5482,37248,5605,5905,1095,265,162706.6748,10201.78239,0.69933427,0.209444933,0.173621673,0.013622455,0.045057916,0.045091215,0.109133712,0.321461534,0,0.043657742,0.03890882,83214,4929,88143,76434,11709,4188,76434,10132,334,0,156,181,0,102,690,114,0.997556134,0.906325697,0.215805371,0.686323312
Avalon Park,11147,10185,9985,2326,1753,1567,2305,1019,662,353,44.07438017,61,66,9705,38,115,8300,4244,3486,757,4056,216,3157,7070,982,1811,2146,450,1128,554,1253,954,605,474,396,197,41394.23077,3880,2563,1315,673,4551,1016,1456,45,47,161426.1168,11996.00199,2.859074403,0.380021598,0.034119467,0.003221757,0.056123678,0.053758216,0.015009151,0.391903414,0,0.035055327,0.030787392,9056,160,9216,8954,263,60,8954,97,1,0,0,0,20,43,30,73,1,1,0.301472386,0.704114686
Avondale,43083,39262,37368,8556,12291,7847,4977,2228,1016,453,32.72315789,12843,21491,784,1537,713,30369,21058,19896,1162,9311,825,18811,26184,6146,5980,3964,1406,5518,3170,2985,3517,2337,1570,1631,1295,51702.6749,13335,4934,8401,1774,15109,511,2088,1759,523,291649.1043,12853.07505,0.874526544,0.127080881,0.245910853,0.027573492,0.079068924,0.021646219,0.103135043,0.3768838,0,0.006948016,0.011752772,22854,12179,35033,14608,20425,9886,14608,17052,1851,44,425,117,12,237,669,18,1,1,0.385502597,0.803702966
Belmont Cragin,78144,78743,79910,24695,17843,17467,12996,4248,1878,782,32.89033154,10745,64782,2103,1562,719,60172,40846,37066,3763,19326,695,35671,49217,17754,14993,7528,2644,4472,1825,5438,6122,4467,2250,2722,1105,47262.93103,22105,11204,10902,2273,24379,2025,7327,1645,151,218502.2866,13727.45007,0.888154331,0.284247245,0.153852194,0.019260182,0.096747989,0.05852566,0.048454772,0.309710963,0,0.025864538,0.003336457,42533,31218,73751,13018,60733,27375,13018,54447,4015,0,1101,402,35,268,405,60,1,1,0.181722127,0.784830424
Beverly,21992,20034,20822,5351,2858,4275,5094,2107,764,373,43.21455648,12012,1095,7031,163,521,16384,10756,10089,667,5628,458,9425,14563,483,2098,2837,1130,4078,3937,718,1274,1071,1144,1249,2217,91903.40909,7673,6184,1489,375,8048,464,2466,2637,544,307809.5831,14379.79173,2.046641896,0.512058711,0.028851946,0.004838852,0.032415404,0.020944956,0,0.269313128,0,0.126398224,0.00517878,18728,669,19397,18433,964,179,18433,577,34,51,48,7,0,4,224,19,0.959061719,0.986192269,0.627961272,0.802322728
Bridgeport,33694,31977,33637,6831,9047,6523,7295,2336,1109,496,37.02781371,11315,8061,848,13135,279,28169,18656,17004,1651,9513,445,16379,24544,5077,6891,3753,1399,4907,2518,3447,3346,2083,1367,1391,1101,45670.73171,12734,5870,6866,1093,13829,620,2682,2033,497,278985.9002,11018.0211,1.953005605,0.182009594,0.168071239,0.023249849,0.041780364,0.024600043,0.100990938,0.367051041,0,0.035613864,0.056633068,19736,12067,31803,14647,17156,9171,14647,4905,237,10902,133,14,108,147,700,11,1,1,0.359466302,0.775717147
Brighton Park,44912,45368,44813,14896,10211,9740,6600,2055,900,411,31.24095212,3160,37301,433,3623,296,32913,20894,18601,2285,12019,179,18027,26532,10831,8433,3530,1121,1933,684,3385,4348,2098,1154,858,471,40513.36898,12314,6094,6220,1627,13941,2228,3356,403,92,168612.3853,13023.52181,0.910937306,0.141243421,0.174538802,0.015718217,0.045612207,0.026892445,0.158846998,0.400263254,0,0.004662363,0.032222292,21359,20224,41583,6207,35376,16721,6207,31270,241,3233,44,231,0,59,250,48,0.945523695,0.623335274,0.140886477,0.736356446
Burnside,3294,2916,2254,381,492,349,437,339,181,75,46.04166667,10,33,2197,0,14,1953,1116,867,249,837,13,812,1671,235,622,453,126,123,112,484,244,51,97,89,0,24940.94488,965,451,514,350,1315,371,73,7,0,102947.1545,12592.972,1.001540734,0.17224507,0.035605702,0.004228288,0.037428532,0.018896004,0.298224713,0.334843256,0,0.01798887,0.080539564,2116,122,2238,2110,128,40,2110,33,0,0,0,0,0,0,86,9,1,1,0.2160383,0.803599374
Calumet Heights,15974,13812,13188,2161,2028,2492,3377,1467,1167,496,49.54450262,219,457,12426,13,73,11610,6448,5652,796,5162,213,5352,10216,1073,2648,2906,851,1782,956,1437,1211,890,686,724,323,49767.65799,5271,3922,1349,773,6044,1612,2114,137,59,161435.1245,12905.58982,1.45008019,0.38916237,0.044323528,0.003205162,0.032071222,0.02698524,0.009058926,0.413381649,0,0.018809379,0.063002524,12289,528,12817,12118,699,266,12118,459,0,8,0,0,0,0,216,16,0.679500597,0.707690697,0.351311668,0.748891984
