,community,shape_area,area_num_1,shape_len,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,AVG_VMT,OPEN_SPACE_PER_1000,Sfperc,Mfperc,MIXperc,COMMperc,INSTperc,INDperc,TRANSperc,Agperc,OPENperc,VACperc,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,PopDens,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,OV65
0,DOUGLAS,46004621.1581,35,31027.0545098,26470,18238,20781,0.21230932101438815,0.3108127616572831,0.17246523266445307,0.160001924835186,7.651219864299119,4.253885761031712,2.535970357538136,0.3342665357,0.11053366055531494,0.03180790144843848,0.7082431066839903,0.1277609354699004,0.021654395842355997,17871,0.5466398075093727,0.46477533434055174,0.08186447316882099,0.4533601924906272,0.028537854624811145,0.41710033014380843,13957,0.11406462706885435,0.1948126388192305,0.20498674500250771,0.06477036612452533,0.22325714695135057,0.19810847603353157,0.30916386042845884,0.1362757039478398,0.10697141219459767,0.0588235294117647,0.04492369420362542,0.03095221036039263,319.0697674,9590,1811,7779,1196,10786,418,704,547,142,247071.4286,7165.906979,8.483252913,0.066835089,0.15802921,0.0033474629999999997,0.048570137,0.219301489,0.000770662,0.31639354199999997,0.0,0.07090743099999999,0.11584497699999999,0.7862951734757712,0.1725133535441028,19925,0.7720032722198161,0.18680525480005772,0.07718589095808671,0.7720032722198161,0.02401231894519032,0.00283913189933112,0.05471344016168615,0.00259852750108272,0.00717001106780232,0.006929406669553919,0.01664982435878928,0.05341417641114479,0.018478417785477118,1.0,1.0,0.486135989,0.666217834,0.0004517154902457251,10.3,42.2,0.11699999999999999,0.76,0.102,0.342,0.136,0.34299999999999997,2.699,0.332,1.1909999999999998,0.091,0.134,0.745,0.855,0.621,4.822,0.0,10.633,0.042,0.261,0.016,0.31,0.16899999999999998,23098,0.16699999999999998,0.14441075982868967
1,OAKLAND,16913961.0408,36,19565.5061533,6110,5918,6645,0.33333333333333326,0.18434913468773517,0.23386004514672687,0.14973664409330323,6.696764484574869,2.3024830699774266,0.8728367193378481,0.33781120330000003,0.025884123401053425,0.04875846501128669,0.8967644845748682,0.021068472535741158,0.007524454477050414,4917,0.6589383770591825,0.5102704901362619,0.1486678869229205,0.34106162294081765,0.029692902176123654,0.46186699206833437,3874,0.15539494062983997,0.23722250903458955,0.25761486835312336,0.0668559628291172,0.15436241610738255,0.12854930304594733,0.3448631905007744,0.1804336602994321,0.10221992772328342,0.04491481672689726,0.04646360351058337,0.038461538461538464,282.9145729,2934,486,2448,273,3207,71,208,144,63,263265.3061,8067.038853,8.019721121,0.06902639,0.152697289,0.000383314,0.006141936,0.170415137,0.0,0.314901635,0.0,0.17932320899999998,0.10711109,0.8428893905191873,0.09104589917231001,6206,0.8127915726109856,0.12114371708051166,0.016102332580887887,0.8127915726109856,0.04454477050413845,0.0012039127163280662,0.0,0.001805869074492099,0.0,0.0,0.004213694507148232,0.010985703536493606,0.058389766741911216,1.0,1.0,0.349767682,0.7933227340000001,0.0003928707169166864,17.5,63.9,0.135,0.75,0.115,0.545,0.18899999999999997,0.20600000000000002,1.597,0.145,0.887,0.126,0.08199999999999999,0.545,0.542,0.43700000000000006,4.354,0.003,16.554000000000002,0.067,0.381,0.035,0.405,0.17600000000000002,19312,0.266,0.09872084273890143
2,FULLER PARK,19916704.8692,37,25339.0897503,3420,2876,2439,0.16113161131611317,0.19352193521935215,0.14842148421484214,0.23616236162361623,16.113161131611317,6.232062320623206,3.731037310373104,0.4970070423,0.03075030750307503,0.07093070930709307,0.8917589175891759,0.004920049200492005,0.0016400164001640015,2077,0.4472797303803563,0.31295137217140107,0.13432835820895522,0.5527202696196437,0.0014443909484833895,0.29995185363505056,1815,0.26391184573002757,0.36308539944903584,0.17079889807162535,0.07382920110192838,0.07548209366391184,0.05234159779614325,0.32066115702479336,0.15041322314049588,0.05564738292011019,0.024793388429752067,0.03526170798898071,0.003856749311294766,233.5714286,1072,364,712,441,1517,265,81,5,10,115983.6066,7902.463211,3.2364604060000004,0.06077441,0.060868245,0.008564364,0.036541775,0.043940457,0.07474470700000001,0.574755616,0.0,0.024613028999999998,0.11519739699999999,0.9134891348913489,0.04346043460434604,2334,0.8856088560885609,0.07093070930709307,0.028700287002870032,0.8856088560885609,0.06027060270602706,0.0,0.002050020500205002,0.0,0.0004100041000410004,0.0,0.0,0.005740057400574006,0.0024600246002460025,0.745870149,0.936175504,0.199955815,0.635124268,0.0001224600161531624,11.9,60.4,0.171,0.7140000000000001,0.14300000000000002,0.6920000000000001,0.496,0.085,2.589,0.21100000000000002,1.117,0.226,0.226,0.8959999999999999,0.705,0.8240000000000001,4.899,0.025,10.619000000000002,0.0,0.555,0.045,0.382,0.337,9016,0.4,0.2607626076260763
3,GRAND BOULEVARD,48492503.1554,38,28196.8371573,28006,21929,22313,0.26482319723927755,0.1932505714157666,0.21695872361403665,0.17877470532873216,8.546587191323443,4.575807825034733,1.49688522386053,0.3769596542,0.027024604490655673,0.01734414915071931,0.9208084972885762,0.0039438892125666656,0.030878859857482188,17566,0.6081065695092793,0.4972674484800182,0.11015598314926561,0.39189343049072073,0.01878629169987476,0.4610611408402596,14832,0.14933926645091694,0.21150215749730314,0.2771709816612729,0.0749730312837109,0.1571601941747573,0.12985436893203883,0.30144282632146707,0.13511326860841424,0.09142394822006474,0.05993797195253506,0.05137540453074434,0.04308252427184466,319.7013487,10121,2409,7914,2006,12329,879,953,463,114,193087.1212,9082.341973999999,3.993456955,0.056005225,0.22920456399999997,0.006567984,0.038042947,0.10118705800000001,0.007341973000000001,0.339672484,0.0,0.020219273,0.201758491,0.9046295881324788,0.021915475283467035,20674,0.8936942589521802,0.032850804463765516,0.009949356877156814,0.8936942589521802,0.01779231837942007,0.0012996907632321962,0.0011652399946219692,0.0011204230717518934,0.0,0.0,0.0,0.008156679962353785,0.003316452292385605,1.0,1.0,0.36198759399999997,0.761223558,0.0004601329803185316,14.3,58.2,0.127,0.742,0.13699999999999998,0.5479999999999999,0.321,0.226,2.1830000000000003,0.27699999999999997,0.826,0.258,0.121,0.638,0.39,0.467,5.904,0.01,14.546,0.132,0.28300000000000003,0.027000000000000003,0.41700000000000004,0.19399999999999998,22056,0.20600000000000002,0.14619280240218707
4,KENWOOD,29071741.9283,39,23325.1679062,18363,17841,17189,0.18442026877654313,0.2758159287916691,0.18488568270405492,0.17761359008668337,10.070393856536157,5.369713188667171,2.286345918901623,0.37676194209999997,0.1694688463552272,0.023096166152772123,0.6820641107685147,0.09203560416545466,0.0333352725580313,14471,0.6230391818118997,0.5555248427890264,0.06751433902287333,0.37696081818810034,0.04125492364038422,0.4986524773685302,12674,0.0746409973173426,0.12182420703803061,0.17539845352690547,0.06722423859870601,0.24199147861764242,0.3189206249013729,0.2602177686602493,0.13089790121508602,0.09207827047498815,0.05980747988006943,0.08773867760770081,0.09365630424491084,440.8798283,9181,2986,6195,1246,10427,830,942,639,443,227738.5159,8361.182119,6.805665299,0.200570704,0.192230955,0.000689994,0.039071716,0.08115558,0.000911955,0.269058758,0.0,0.185636642,0.030673695,0.8230263540636453,0.11949502588864971,16201,0.8072022805282448,0.13531909942405027,0.040025597766013145,0.8072022805282448,0.023619756821222877,0.005934027575775205,0.04834487172028624,0.004363255570422945,0.002327069637558904,0.006864855430798766,0.015824073535400548,0.014427831752865206,0.013613357379719589,1.0,1.0,0.628136342,0.7464454979999999,0.0005912614401432651,12.2,51.1,0.114,0.7759999999999999,0.11900000000000001,0.257,0.152,0.309,1.964,0.342,0.455,0.174,0.08900000000000001,0.491,0.462,0.315,3.9789999999999996,0.004,6.102,0.0,0.231,0.023,0.342,0.10800000000000001,37519,0.11,0.1772645296410495
5,LINCOLN SQUARE,71352328.2399,4,36624.6030848,44574,39493,41715,0.17633944624235887,0.3219944863957809,0.24998202085580726,0.1597506892005274,5.223540692796356,2.394822006472492,1.5749730312837111,0.3507910312,0.6420232530264893,0.1672779575692197,0.03821167445762915,0.11147069399496584,0.041016420951696025,35365,0.7610349215325887,0.7288562137706772,0.03217870776191149,0.23896507846741127,0.04792874310759225,0.6669871341722042,32285,0.07697072944091683,0.12092302927055908,0.13092767539104846,0.042961127458572085,0.3807340870373238,0.24748335140157965,0.08840018584481958,0.1127458572092303,0.09419234938826081,0.07486448815239276,0.0976304785504104,0.09886944401424809,717.3693086000001,18296,7552,10744,1407,19703,726,2121,2535,2057,355326.5694,9594.689266,1.92710545,0.136909536,0.21159172199999998,0.021326617000000003,0.033233893,0.23374557399999998,0.025253391,0.278599319,0.0,0.050467675999999996,0.008872271,0.6956011027208439,0.22553038475368573,38425,0.6114826800910943,0.3096488073834352,0.10845019777058612,0.6114826800910943,0.12503895481241759,0.03243437612369651,0.007263574253865517,0.02936593551480283,0.01500659235287067,0.008558072635742538,0.038115785688601224,0.040129449838187704,0.013736066163250632,1.0,1.0,0.6711785659999999,0.8512318179999999,0.0005846340410889789,17.1,61.0,0.081,0.805,0.09699999999999999,0.384,0.05,0.217,1.5319999999999998,0.086,0.5539999999999999,0.061,0.038,0.431,0.276,0.369,2.733,0.004,0.988,0.085,0.095,0.031,0.256,0.125,35503,0.068,0.0919333573055256
6,WASHINGTON PARK,42373881.4842,40,28175.3160866,14146,11717,11502,0.37280472961224137,0.2378716744913928,0.16788384628760217,0.1475395583376804,3.642844722656929,1.9648756737958615,1.782298730655538,0.2923340961,0.007390019127108329,0.024169709615719005,0.9354894800904191,0.0012171796209354895,0.03173361154581812,7870,0.6044472681067344,0.4639135959339263,0.14053367217280813,0.39555273189326556,0.016772554002541296,0.42947903430749684,6491,0.17747650593128944,0.3119704205823448,0.2791557541210907,0.05176398089662611,0.1240178708981667,0.055615467570482205,0.3313819134185796,0.17454937605915885,0.08812201509782776,0.033430904329071025,0.03373902326297951,0.0064704976120782635,253.84615380000002,4334,584,3750,1342,5676,301,199,57,27,129545.4545,6788.037152,8.810363887000001,0.015714991,0.132480835,0.0052874309999999996,0.021456036,0.047957518,0.009353165,0.23619583100000002,0.0,0.358779002,0.17277519100000002,0.8667188315075639,0.01443227264823509,10135,0.8419405320813772,0.03921057207442184,0.013823682837767345,0.8419405320813772,0.02929925230394714,0.0,0.0,0.0005216484089723526,0.0,0.0,0.0004347070074769605,0.0060858981046774474,0.00286906624934794,1.0,0.896178969,0.231397319,0.709302326,0.0002714407931755972,19.3,72.1,0.177,0.7490000000000001,0.16899999999999998,0.826,0.446,0.26,2.58,0.319,0.882,0.395,0.193,0.7979999999999999,0.67,0.433,5.024,0.004,21.458000000000002,0.05,0.391,0.049,0.409,0.28300000000000003,13087,0.23199999999999998,0.07390019127108328
7,HYDE PARK,45105380.1732,41,29746.7082016,29920,25681,26827,0.19752488164908488,0.3653781637902114,0.15051999850896486,0.1500354120848399,8.163417452566444,4.025794908114959,1.464942036008499,0.3120274527,0.464196518432922,0.0837216237372796,0.2745741230849517,0.13266485257389943,0.04484288217094719,23926,0.6156482487670317,0.5743124634289057,0.04095962551199532,0.3843517512329683,0.04033269246844437,0.5135835492769372,17023,0.03395406215120719,0.06878928508488516,0.11619573518181284,0.03371908594254832,0.2526581683604535,0.49468366327909297,0.21788168947894027,0.1358749926569935,0.12894319450155672,0.07977442283968748,0.07296011278858015,0.1048581331140222,526.2711864,12602,4575,8027,1673,14275,1188,1408,1011,901,264959.0164,7210.2980450000005,15.58916719,0.095511217,0.172056137,0.006235968000000001,0.038700603,0.169456667,0.0,0.243640694,0.0,0.269991715,0.004407,0.7624035486636598,0.19812129570954634,25768,0.7053341782532523,0.2551906661199538,0.061244268833637754,0.7053341782532523,0.0694076862862042,0.009579900846162448,0.06743206471092555,0.004174898423230327,0.009542624967383607,0.00928169381593171,0.020799940358593953,0.04842136653371603,0.01655049017780594,1.0,1.0,0.781060918,0.719507417,0.0005947627510728674,9.7,33.9,0.059000000000000004,0.8029999999999999,0.055,0.076,0.057999999999999996,0.336,1.44,0.11699999999999999,0.34,0.05,0.10400000000000001,0.349,0.24100000000000002,0.26,3.69,0.0,2.166,0.053,0.182,0.025,0.267,0.053,39243,0.069,0.136541543966899
8,WOODLAWN,57815179.512,42,46936.9592443,27086,23740,23268,0.3195375623173457,0.2241705346398487,0.170663572288121,0.1724686264397456,7.276087330238955,2.7591542031975247,1.2807288980574179,0.3153846154,0.0881468110709988,0.029869348461406223,0.8285628330754684,0.03055698813821557,0.02286401925391095,18010,0.5239866740699611,0.43159355913381453,0.09239311493614659,0.47601332593003887,0.0249305941143809,0.3957245974458634,13462,0.14210369930173822,0.21965532610310504,0.2747734363393255,0.09827663051552518,0.13928093893923638,0.12590996880106967,0.34237111870450154,0.1461892735106225,0.07502599910860198,0.05333531421779824,0.04538701530233249,0.02458772842073986,251.22259699999998,9247,1970,7277,2763,12010,899,844,187,40,158884.2975,8098.715748999999,7.808502817000001,0.048228951,0.19146025600000002,0.004842968,0.026756925,0.10659886199999999,0.00284076,0.257392418,0.0,0.269657388,0.092221472,0.8693484614062231,0.051401065841499054,21424,0.8453240501976964,0.07542547705002578,0.021273852501289325,0.8453240501976964,0.021789582258896337,0.00210589651022864,0.01366683857658587,0.0015042117930204573,0.00038679731820526046,0.002277806429430978,0.0025786487880350693,0.017362901839436135,0.013752793536187038,1.0,0.9799779000000001,0.38417743,0.6749000709999999,0.00040245486040859805,15.1,60.1,0.174,0.733,0.163,0.511,0.311,0.32899999999999996,2.4130000000000003,0.239,0.821,0.25,0.115,0.698,0.58,0.6,4.4430000000000005,0.016,13.82,0.174,0.28300000000000003,0.018000000000000002,0.376,0.179,18928,0.17300000000000001,0.11315970431493899
9,ROGERS PARK,51259902.4506,1,34052.3975757,63484,54991,55062,0.21125276960517236,0.3108495877374596,0.2281064981293814,0.1624532345356144,5.007082924703062,2.4753913769932074,1.251316697540954,0.33972649,0.4314045984526534,0.2192437615778577,0.2637208964440086,0.05070647633576695,0.034924267189713414,46136,0.7025099705219353,0.6480189006415814,0.05381914340211549,0.29749002947806485,0.03559042829894226,0.6027180509797122,38080,0.1373686974789916,0.2019170168067227,0.19070378151260503,0.04600840336134454,0.24774159663865547,0.17626050420168066,0.21478466386554623,0.16664915966386556,0.10091911764705883,0.05974264705882353,0.05554096638655462,0.034926470588235295,391.06182800000005,24088,5746,18342,3485,27573,1903,2355,1030,425,192278.5548,7580.681501000001,1.39357587,0.124047504,0.316890006,0.018549535,0.051667977000000004,0.06826966799999999,0.042422127999999996,0.31560244600000004,0.0,0.058718759,0.0038319770000000003,0.672787040063928,0.2693145908248883,51874,0.5834877047691693,0.358613926119647,0.15822164105916967,0.5834877047691693,0.19269187461407142,0.026333950819076676,0.008227089462787404,0.0038138825324180014,0.011096582034797138,0.0025244270095528677,0.008717445788384003,0.053866550434056165,0.05134212342450329,1.0,1.0,0.470010504,0.7940757620000001,0.0010741729376692463,16.4,62.0,0.11,0.73,0.11199999999999999,0.408,0.077,0.233,1.7690000000000001,0.253,0.7709999999999999,0.052000000000000005,0.064,0.36700000000000005,0.217,0.337,3.647,0.005,3.225,0.114,0.22699999999999998,0.079,0.28800000000000003,0.18100000000000002,23714,0.075,0.08733790999237223
