Neighborhood,Latitude,Longitude
DOUGLAS,41.83471741,-87.61714198
OAKLAND,41.82414382,-87.6051073
FULLER PARK,41.80906656,-87.63239455
GRAND BOULEVARD,41.81293605,-87.61783034
KENWOOD,41.80959236,-87.59655559
LINCOLN SQUARE,41.97603301,-87.68959404
WASHINGTON PARK,41.79112801,-87.61730516
HYDE PARK,41.79423491,-87.59259414
WOODLAWN,41.77613595,-87.59506505
ROGERS PARK,42.01049849,-87.67098932
JEFFERSON PARK,41.98255459,-87.77277183
FOREST GLEN,41.99169988,-87.75166063
NORTH PARK,41.98460118,-87.72287459
ALBANY PARK,41.96851859,-87.72429546
PORTAGE PARK,41.95365557,-87.76470711
IRVING PARK,41.95357842,-87.71875399
DUNNING,41.94725721,-87.80653842
MONTCLARE,41.92782251,-87.79846544
BELMONT CRAGIN,41.9264214,-87.76610573
WEST RIDGE,42.00139458,-87.69394611
HERMOSA,41.92602138,-87.73510049
AVONDALE,41.93921099,-87.70975923
LOGAN SQUARE,41.92480874,-87.70116816
HUMBOLDT PARK,41.90091945,-87.72394947
WEST TOWN,41.90226796,-87.68154938
AUSTIN,41.8945419,-87.75805351
WEST GARFIELD PARK,41.87833698,-87.73045978
EAST GARFIELD PARK,41.87865787,-87.70605532
NEAR WEST SIDE,41.87338618,-87.6634947
NORTH LAWNDALE,41.85829773,-87.71390275
UPTOWN,41.96614613,-87.65592974
SOUTH LAWNDALE,41.83796218,-87.71323424
LOWER WEST SIDE,41.8475757,-87.67147305
NEAR SOUTH SIDE,41.85659668,-87.62155187
ARMOUR SQUARE,41.84061762,-87.63312783
NORWOOD PARK,41.98563068,-87.80057787
NEAR NORTH SIDE,41.89904483,-87.63411008
LOOP,41.87893734,-87.62719988
SOUTH SHORE,41.76266233,-87.57530481
CHATHAM,41.73694775,-87.61416976
AVALON PARK,41.74683094,-87.58845658
SOUTH CHICAGO,41.73900955,-87.54894278
BURNSIDE,41.72945766,-87.59673374
MCKINLEY PARK,41.8309837,-87.67237783
LAKE VIEW,41.94698722,-87.65749331
CALUMET HEIGHTS,41.72974796,-87.57308214
ROSELAND,41.71200856,-87.61938115
NORTH CENTER,41.94685871,-87.68496324
PULLMAN,41.70396882,-87.59839255
SOUTH DEERING,41.69145547,-87.57197436
EAST SIDE,41.70787173,-87.53502196
WEST PULLMAN,41.6713484,-87.6383573
RIVERDALE,41.66546615,-87.60527442
HEGEWISCH,41.66822391,-87.53566173
GARFIELD RIDGE,41.80337322,-87.74548644
ARCHER HEIGHTS,41.81088356,-87.72619673
BRIGHTON PARK,41.81944116,-87.69921274
BRIDGEPORT,41.83659136,-87.64965695
NEW CITY,41.80877821,-87.65989403
WEST ELSDON,41.79591545,-87.72448209
GAGE PARK,41.7955901,-87.69630302
CLEARING,41.77840913,-87.76917437
WEST LAWN,41.76958796,-87.72736333
CHICAGO LAWN,41.77193015,-87.6957478
WEST ENGLEWOOD,41.7758909,-87.66660715
ENGLEWOOD,41.77527888,-87.64221122
GREATER GRAND CROSSING,41.76697898,-87.62091795
LINCOLN PARK,41.9219208,-87.64859874
ASHBURN,41.74802157,-87.70975938
AUBURN GRESHAM,41.74339256,-87.65607646
BEVERLY,41.71742687,-87.67191032
WASHINGTON HEIGHTS,41.71591398,-87.64727152
MOUNT GREENWOOD,41.69685878,-87.70825064
MORGAN PARK,41.68768182,-87.66899158
OHARE,41.97313407,-87.90467311
EDGEWATER,41.9871725,-87.66377065
EDISON PARK,42.00717802,-87.81399802
