community,shape_area,area_num_1,shape_len,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,AVG_VMT,OPEN_SPACE_PER_1000,Sfperc,Mfperc,MIXperc,COMMperc,INSTperc,INDperc,TRANSperc,Agperc,OPENperc,VACperc,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,highly_walkable_pop_pct,highly_walkable_emp_pct,assoc_plus_pct,in_lbr_frc_pct,PopDens,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Assault (Homicide),Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,OV65
DOUGLAS,46004621.16,35,31027.05451,26470,18238,20781,0.212309321,0.310812762,0.172465233,0.160001925,7.651219864,4.253885761,2.535970358,0.334266536,0.110533661,0.031807901,0.708243107,0.127760935,0.021654396,17871,0.546639808,0.464775334,0.081864473,0.453360192,0.028537855,0.41710033,13957,0.114064627,0.194812639,0.204986745,0.064770366,0.223257147,0.198108476,0.30916386,0.136275704,0.106971412,0.058823529,0.044923694,0.03095221,319.0697674,9590,1811,7779,1196,10786,418,704,547,142,247071.4286,7165.906979,8.483252913,0.066835089,0.15802921,0.003347463,0.048570137,0.219301489,0.000770662,0.316393542,0,0.070907431,0.115844977,0.786295173,0.172513354,19925,0.772003272,0.186805255,0.077185891,0.772003272,0.024012319,0.002839132,0.05471344,0.002598528,0.007170011,0.006929407,0.016649824,0.053414176,0.018478418,1,1,0.486135989,0.666217834,0.000451715,10.3,42.2,0.117,0.76,0.102,0.342,0.136,0.343,2.699,0.332,1.191,0.091,0.134,0.745,0.855,0.621,4.822,0,10.633,0.042,0.261,0.016,0.31,0.169,23098,0.167,0.14441076
OAKLAND,16913961.04,36,19565.50615,6110,5918,6645,0.333333333,0.184349135,0.233860045,0.149736644,6.696764485,2.30248307,0.872836719,0.337811203,0.025884123,0.048758465,0.896764485,0.021068473,0.007524454,4917,0.658938377,0.51027049,0.148667887,0.341061623,0.029692902,0.461866992,3874,0.155394941,0.237222509,0.257614868,0.066855963,0.154362416,0.128549303,0.344863191,0.18043366,0.102219928,0.044914817,0.046463604,0.038461538,282.9145729,2934,486,2448,273,3207,71,208,144,63,263265.3061,8067.038853,8.019721121,0.06902639,0.152697289,0.000383314,0.006141936,0.170415137,0,0.314901635,0,0.179323209,0.10711109,0.842889391,0.091045899,6206,0.812791573,0.121143717,0.016102333,0.812791573,0.044544771,0.001203913,0,0.001805869,0,0,0.004213695,0.010985704,0.058389767,1,1,0.349767682,0.793322734,0.000392871,17.5,63.9,0.135,0.75,0.115,0.545,0.189,0.206,1.597,0.145,0.887,0.126,0.082,0.545,0.542,0.437,4.354,0.003,16.554,0.067,0.381,0.035,0.405,0.176,19312,0.266,0.098720843
FULLER PARK,19916704.87,37,25339.08975,3420,2876,2439,0.161131611,0.193521935,0.148421484,0.236162362,16.11316113,6.232062321,3.73103731,0.497007042,0.030750308,0.070930709,0.891758918,0.004920049,0.001640016,2077,0.44727973,0.312951372,0.134328358,0.55272027,0.001444391,0.299951854,1815,0.263911846,0.363085399,0.170798898,0.073829201,0.075482094,0.052341598,0.320661157,0.150413223,0.055647383,0.024793388,0.035261708,0.003856749,233.5714286,1072,364,712,441,1517,265,81,5,10,115983.6066,7902.463211,3.236460406,0.06077441,0.060868245,0.008564364,0.036541775,0.043940457,0.074744707,0.574755616,0,0.024613029,0.115197397,0.913489135,0.043460435,2334,0.885608856,0.070930709,0.028700287,0.885608856,0.060270603,0,0.002050021,0,0.000410004,0,0,0.005740057,0.002460025,0.745870149,0.936175504,0.199955815,0.635124268,0.00012246,11.9,60.4,0.171,0.714,0.143,0.692,0.496,0.085,2.589,0.211,1.117,0.226,0.226,0.896,0.705,0.824,4.899,0.025,10.619,0,0.555,0.045,0.382,0.337,9016,0.4,0.260762608
GRAND BOULEVARD,48492503.16,38,28196.83716,28006,21929,22313,0.264823197,0.193250571,0.216958724,0.178774705,8.546587191,4.575807825,1.496885224,0.376959654,0.027024604,0.017344149,0.920808497,0.003943889,0.03087886,17566,0.60810657,0.497267448,0.110155983,0.39189343,0.018786292,0.461061141,14832,0.149339266,0.211502157,0.277170982,0.074973031,0.157160194,0.129854369,0.301442826,0.135113269,0.091423948,0.059937972,0.051375405,0.043082524,319.7013487,10121,2409,7914,2006,12329,879,953,463,114,193087.1212,9082.341974,3.993456955,0.056005225,0.229204564,0.006567984,0.038042947,0.101187058,0.007341973,0.339672484,0,0.020219273,0.201758491,0.904629588,0.021915475,20674,0.893694259,0.032850804,0.009949357,0.893694259,0.017792318,0.001299691,0.00116524,0.001120423,0,0,0,0.00815668,0.003316452,1,1,0.361987594,0.761223558,0.000460133,14.3,58.2,0.127,0.742,0.137,0.548,0.321,0.226,2.183,0.277,0.826,0.258,0.121,0.638,0.39,0.467,5.904,0.01,14.546,0.132,0.283,0.027,0.417,0.194,22056,0.206,0.146192802
KENWOOD,29071741.93,39,23325.16791,18363,17841,17189,0.184420269,0.275815929,0.184885683,0.17761359,10.07039386,5.369713189,2.286345919,0.376761942,0.169468846,0.023096166,0.682064111,0.092035604,0.033335273,14471,0.623039182,0.555524843,0.067514339,0.376960818,0.041254924,0.498652477,12674,0.074640997,0.121824207,0.175398454,0.067224239,0.241991479,0.318920625,0.260217769,0.130897901,0.09207827,0.05980748,0.087738678,0.093656304,440.8798283,9181,2986,6195,1246,10427,830,942,639,443,227738.5159,8361.182119,6.805665299,0.200570704,0.192230955,0.000689994,0.039071716,0.08115558,0.000911955,0.269058758,0,0.185636642,0.030673695,0.823026354,0.119495026,16201,0.807202281,0.135319099,0.040025598,0.807202281,0.023619757,0.005934028,0.048344872,0.004363256,0.00232707,0.006864855,0.015824074,0.014427832,0.013613357,1,1,0.628136342,0.746445498,0.000591261,12.2,51.1,0.114,0.776,0.119,0.257,0.152,0.309,1.964,0.342,0.455,0.174,0.089,0.491,0.462,0.315,3.979,0.004,6.102,0,0.231,0.023,0.342,0.108,37519,0.11,0.17726453
LINCOLN SQUARE,71352328.24,4,36624.60308,44574,39493,41715,0.176339446,0.321994486,0.249982021,0.159750689,5.223540693,2.394822006,1.574973031,0.350791031,0.642023253,0.167277958,0.038211674,0.111470694,0.041016421,35365,0.761034922,0.728856214,0.032178708,0.238965078,0.047928743,0.666987134,32285,0.076970729,0.120923029,0.130927675,0.042961127,0.380734087,0.247483351,0.088400186,0.112745857,0.094192349,0.074864488,0.097630479,0.098869444,717.3693086,18296,7552,10744,1407,19703,726,2121,2535,2057,355326.5694,9594.689266,1.92710545,0.136909536,0.211591722,0.021326617,0.033233893,0.233745574,0.025253391,0.278599319,0,0.050467676,0.008872271,0.695601103,0.225530385,38425,0.61148268,0.309648807,0.108450198,0.61148268,0.125038955,0.032434376,0.007263574,0.029365936,0.015006592,0.008558073,0.038115786,0.04012945,0.013736066,1,1,0.671178566,0.851231818,0.000584634,17.1,61,0.081,0.805,0.097,0.384,0.05,0.217,1.532,0.086,0.554,0.061,0.038,0.431,0.276,0.369,2.733,0.004,0.988,0.085,0.095,0.031,0.256,0.125,35503,0.068,0.091933357
WASHINGTON PARK,42373881.48,40,28175.31609,14146,11717,11502,0.37280473,0.237871674,0.167883846,0.147539558,3.642844723,1.964875674,1.782298731,0.292334096,0.007390019,0.02416971,0.93548948,0.00121718,0.031733612,7870,0.604447268,0.463913596,0.140533672,0.395552732,0.016772554,0.429479034,6491,0.177476506,0.311970421,0.279155754,0.051763981,0.124017871,0.055615468,0.331381913,0.174549376,0.088122015,0.033430904,0.033739023,0.006470498,253.8461538,4334,584,3750,1342,5676,301,199,57,27,129545.4545,6788.037152,8.810363887,0.015714991,0.132480835,0.005287431,0.021456036,0.047957518,0.009353165,0.236195831,0,0.358779002,0.172775191,0.866718832,0.014432273,10135,0.841940532,0.039210572,0.013823683,0.841940532,0.029299252,0,0,0.000521648,0,0,0.000434707,0.006085898,0.002869066,1,0.896178969,0.231397319,0.709302326,0.000271441,19.3,72.1,0.177,0.749,0.169,0.826,0.446,0.26,2.58,0.319,0.882,0.395,0.193,0.798,0.67,0.433,5.024,0.004,21.458,0.05,0.391,0.049,0.409,0.283,13087,0.232,0.073900191
HYDE PARK,45105380.17,41,29746.7082,29920,25681,26827,0.197524882,0.365378164,0.150519999,0.150035412,8.163417453,4.025794908,1.464942036,0.312027453,0.464196518,0.083721624,0.274574123,0.132664853,0.044842882,23926,0.615648249,0.574312463,0.040959626,0.384351751,0.040332692,0.513583549,17023,0.033954062,0.068789285,0.116195735,0.033719086,0.252658168,0.494683663,0.217881689,0.135874993,0.128943195,0.079774423,0.072960113,0.104858133,526.2711864,12602,4575,8027,1673,14275,1188,1408,1011,901,264959.0164,7210.298045,15.58916719,0.095511217,0.172056137,0.006235968,0.038700603,0.169456667,0,0.243640694,0,0.269991715,0.004407,0.762403549,0.198121296,25768,0.705334178,0.255190666,0.061244269,0.705334178,0.069407686,0.009579901,0.067432065,0.004174898,0.009542625,0.009281694,0.02079994,0.048421367,0.01655049,1,1,0.781060918,0.719507417,0.000594763,9.7,33.9,0.059,0.803,0.055,0.076,0.058,0.336,1.44,0.117,0.34,0.05,0.104,0.349,0.241,0.26,3.69,0,2.166,0.053,0.182,0.025,0.267,0.053,39243,0.069,0.136541544
WOODLAWN,57815179.51,42,46936.95924,27086,23740,23268,0.319537562,0.224170535,0.170663572,0.172468626,7.27608733,2.759154203,1.280728898,0.315384615,0.088146811,0.029869348,0.828562833,0.030556988,0.022864019,18010,0.523986674,0.431593559,0.092393115,0.476013326,0.024930594,0.395724597,13462,0.142103699,0.219655326,0.274773436,0.098276631,0.139280939,0.125909969,0.342371119,0.146189274,0.075025999,0.053335314,0.045387015,0.024587728,251.222597,9247,1970,7277,2763,12010,899,844,187,40,158884.2975,8098.715749,7.808502817,0.048228951,0.191460256,0.004842968,0.026756925,0.106598862,0.00284076,0.257392418,0,0.269657388,0.092221472,0.869348461,0.051401066,21424,0.84532405,0.075425477,0.021273853,0.84532405,0.021789582,0.002105897,0.013666839,0.001504212,0.000386797,0.002277806,0.002578649,0.017362902,0.013752794,1,0.9799779,0.38417743,0.674900071,0.000402455,15.1,60.1,0.174,0.733,0.163,0.511,0.311,0.329,2.413,0.239,0.821,0.25,0.115,0.698,0.58,0.6,4.443,0.016,13.82,0.174,0.283,0.018,0.376,0.179,18928,0.173,0.113159704
ROGERS PARK,51259902.45,1,34052.39758,63484,54991,55062,0.21125277,0.310849588,0.228106498,0.162453235,5.007082925,2.475391377,1.251316698,0.33972649,0.431404598,0.219243762,0.263720896,0.050706476,0.034924267,46136,0.702509971,0.648018901,0.053819143,0.297490029,0.035590428,0.602718051,38080,0.137368697,0.201917017,0.190703782,0.046008403,0.247741597,0.176260504,0.214784664,0.16664916,0.100919118,0.059742647,0.055540966,0.034926471,391.061828,24088,5746,18342,3485,27573,1903,2355,1030,425,192278.5548,7580.681501,1.39357587,0.124047504,0.316890006,0.018549535,0.051667977,0.068269668,0.042422128,0.315602446,0,0.058718759,0.003831977,0.67278704,0.269314591,51874,0.583487705,0.358613926,0.158221641,0.583487705,0.192691875,0.026333951,0.008227089,0.003813883,0.011096582,0.002524427,0.008717446,0.05386655,0.051342123,1,1,0.470010504,0.794075762,0.001074173,16.4,62,0.11,0.73,0.112,0.408,0.077,0.233,1.769,0.253,0.771,0.052,0.064,0.367,0.217,0.337,3.647,0.005,3.225,0.114,0.227,0.079,0.288,0.181,23714,0.075,0.08733791
