Unique Identifier,FemalePop,PopU18Pop,Pop18t24Pop,Pop25t44Pop,Pop45t64Pop,Pop65plPop,HispanicPop,WhiteNonHispPop,BlackNonHispPop,AsianPIPop,OtherRacePop,ForeignBornPop,LimitedEngPop,EduLessThanHSPop,PovertyPop,FoodStampSNAPPop,UnemploymentPop,DisabilityPop,DisabilityVisionPop,DisabilityCognitivePop,DisabilityAmbulatoryPop,DisabilitySelfCarePop,DisabilityIndepLivPop,HealthInsPop,MedicaidEnrollPop,AlcoholRetailersPop,TobaccoRetailersPop,FelonyCrimePop,PropertyCrimePop,ViolentCrimePop,JailIncarcerationPop,AssaultHospPop,ED_AllPop,AlcoholHospPop,DrugHospPop,PsychHospPop,StrokeHospPop,HIVPop,HepBPop,HepCPop,TBPop,GonorrheaPop,SyphilisPop,PrematureMortalityPop,TotalPop,shape_area,rating_b
1.0,35567.178,15780.874,6749.107,19405.406000000003,17519.295,9946.47,28884.403,13035.332999999999,21412.872000000003,4514.081999999999,1659.484,25336.012,14340.254,16953.506,13547.838,19248.589,9968.27,10448.291,2464.0730000000003,4258.142,6385.474,2714.9210000000003,4139.2080000000005,59806.824,25923.851000000002,84.98894000000001,61.95366,997.4418999999998,546.7168,258.9963,312.2029,52.355979,37024.999654,851.27694,738.401544,469.57415100000003,242.691044,19.943870999999998,45.889272,74.02839399999999,4.007294,127.98772,23.985638,126.309039,69435.0,46878491.8467,7.045550527903469
2.0,12929.01,5376.42,2355.384,6835.734,7757.406,3277.0560000000005,3046.638,20379.192,358.42799999999994,1612.9260000000002,230.418,3917.106,1612.9260000000002,2278.578,1356.906,1075.284,2048.16,2073.7619999999997,230.418,486.43799999999993,1331.3039999999999,460.836,768.06,24680.328,3609.882,6.912540000000001,3.07224,140.811,48.6438,20.481600000000004,40.96320000000001,4.633962,7771.0006619999995,152.81833799999998,132.87438,133.77045,73.631352,0.0,3.174648,10.88085,0.998478,0.0,0.0,35.8428,25602.0,50410816.2482,6.9363636363636365
3.0,53209.447,14969.235,10840.702000000001,45177.128000000004,22280.184,13072.643,31286.679,49974.725000000006,6694.4619999999995,15602.884999999998,2656.1,46478.481,28550.487,18825.075,18475.287,13771.402,10636.659,9551.608,1322.874,3158.171,6182.856,1960.338,4008.123,86201.478,30305.964999999997,376.73849,146.93545,1659.2861,789.965,434.5652,269.7508,32.711983000000004,38265.968829,818.189404,427.44577200000003,490.92029,299.970679,44.522228,51.634584000000004,75.98244,9.312968,196.98890600000001,58.00214,143.006604,106244.0,54955110.6771,7.136802110402394
4.0,15712.982,6464.404,2368.148,10144.634,7904.494000000001,5088.318,4864.304,15104.944000000001,384.024,11264.704000000002,384.024,14976.935999999998,13344.834,8000.5,5056.316000000001,5120.32,2528.1580000000004,3552.222,896.0559999999999,1312.0819999999999,2368.148,1216.076,1632.1019999999999,28289.768000000004,13120.82,48.003,32.002,310.41939999999994,147.20919999999998,73.60459999999999,54.403400000000005,6.304394,8107.002656000001,146.60116200000002,94.88593,100.64629,83.52522,0.0,61.091817999999996,28.129758000000002,4.6722920000000006,7.008437999999999,0.0,40.450528000000006,32002.0,20534621.1958,6.415841584158416
5.0,21922.26,5862.93,4673.35,22474.565,6797.6,2719.04,3866.135,27742.705,1232.065,8369.545,1274.55,12448.105,3101.405,1741.8849999999998,3228.86,637.275,1826.855,1656.915,254.91,552.305,1019.64,424.85,679.76,40148.325,4715.835,262.98215,96.8658,688.257,471.5835,89.2185,63.7275,8.454514999999999,8197.013415000001,267.867925,162.12276000000003,140.37043999999997,115.89908,12.193195,24.81124,26.638095,1.656915,68.99564,18.990795000000002,33.64812,42485.0,19014299.2181,6.069053708439898
6.0,11647.68,3264.88,1632.44,4853.2,6684.18,5625.3,1875.1,14934.62,88.24,4610.539999999999,551.5,6529.76,3926.68,1941.2800000000002,1588.32,816.22,2250.12,3154.58,308.84,926.52,2139.8199999999997,904.4599999999998,1500.08,20736.4,3000.16,26.030800000000003,9.044599999999999,119.12400000000001,61.767999999999994,22.06,19.854,0.0,4971.0004,55.9221,27.4647,78.68802,63.46662,0.0,11.09618,8.58134,0.6618,4.50024,0.0,20.44962,22060.0,46292591.0711,6.971698113207547
7.0,24266.84,9006.731,3360.0240000000003,12740.091,13813.431999999999,7793.389,6953.383000000001,19366.805,793.3389999999999,18013.462,1493.344,19833.475,13626.764,5366.705,3406.691,2520.018,3920.028,4013.362,560.004,1260.009,2146.682,746.672,1773.346,41673.631,10080.072,111.06746000000001,35.93359,504.00360000000006,289.33540000000005,107.33409999999999,46.667,5.786708000000001,8577.021263999999,92.86733,70.420503,140.74767200000002,96.554023,0.980007,39.106946,22.820162999999997,0.980007,10.500075,0.0,33.833575,46667.0,80798590.9635,6.5799043062200955
8.0,27857.778,14843.544,5487.93,12961.968,11864.382,7003.644,14529.948,13171.032,21951.72,1567.98,1097.586,17979.504,10191.87,15209.406,12125.712,19390.686,5331.132,8258.028,3135.96,2770.098,4703.94,2142.906,3188.2259999999997,45210.09,22369.847999999998,35.01822,31.88226,1060.9998,397.22159999999997,292.6896,371.0886,36.5862,27630.002772,420.950364,316.836492,700.3644,213.663408,11.028126,24.878616,51.377477999999996,0.679458,60.524028,6.480984,122.511504,52266.0,54160419.8274,7.157068062827225
9.0,73175.706,37315.436,15674.406000000003,43659.477999999996,28721.88,12320.970000000001,26733.438000000002,25777.228,79436.44,3456.9139999999998,2359.8559999999998,27460.802000000003,17214.584000000003,32003.61,43704.994,48109.112,20706.271999999997,14786.024000000001,4002.6519999999996,5226.376,9256.078000000001,3202.7219999999998,5000.094,120817.228,60628.892,259.78164,192.18912,4455.5584,2046.9686000000002,1229.9502,1553.4856,147.890698,85868.03109,1876.532572,2055.9767519999996,1282.405388,577.449754,78.27025599999999,66.574032,162.789238,9.028936,425.96679600000004,116.003904,357.840156,137830.0,64036724.032000005,7.384899117276166
10.0,13703.635,5401.627,2687.5089999999996,6918.34,8089.1359999999995,3512.388,5268.582,8142.354,1516.7130000000002,10590.382,1090.969,11069.344000000001,6226.505999999999,3405.952,2793.945,1569.931,1782.803,2873.772,478.96200000000005,1011.1419999999999,1623.149,771.661,1516.7130000000002,24214.19,6492.596,27.93945,10.90969,255.44639999999998,135.70589999999999,39.9135,45.235299999999995,5.907197999999999,8139.001266,200.339161,155.316733,450.17106199999995,57.422222000000005,1.011142,10.6436,18.333601,2.341592,8.488271,3.0068170000000003,24.453671,26609.0,55184283.9043,6.575342465753424
