Airbnb,Unique Identifier,NTA,Geographic Boundaries
"Allerton,Pelham Gardens",1,"BX31,BX07",
Arden Heights,2,SI48,
Astoria,3,"QN71,QN70",
Bath Beach,4,BK27,
"Battery Park City,Financial District",5,MN25,
Bay Terrace,6,QN47,
Bayside,7,QN46,
"Bayswater,Far Rockaway",8,QN15,
Bedford-Stuyvesant,9,"BK75,BK35",
Bellerose,10,QN43,
Belmont,11,BX06,
Bensonhurst,12,BK28,
Borough Park,13,BK88,
"Breezy Point,Neponsit,Belle Harbor",14,QN10,
"Briarwood,Jamaica Hills",15,QN35,
Brighton Beach,16,"BK23,BK19",
"Brooklyn Heights,Cobble Hill",17,BK09,
Brownsville,18,BK81,
Bushwick,19,"BK78,BK77",
Cambria Heights,20,QN33,
Canarsie,21,BK50,
"Castle Hill,Clason Point",22,BX09,
"Castleton Corners,Westerleigh",23,SI07,
"Charleston,Pleasant Plains,Tottenville",24,SI11,
"Chelsea,Flatiron District",25,MN13,
"""Chelsea, Staten Island"",Bloomfield,Bull's Head,Willowbrook,Emerson Hill",26,SI05,
"Chinatown,Two Bridges",27,MN27,
City Island,28,BX10,
Claremont Village,29,BX01,
Clinton Hill,30,BK69,
Co-op City,31,BX13,
College Point,32,QN23,
"Concord,Arrochar,Fort Wadsworth",33,SI14,
Concourse,34,BX63,
Concourse Village,35,BX14,
Corona,36,"QN25,QN26",
Crown Heights,37,"BK63,BK61,BK79",
Cypress Hills,38,BK83,
Ditmars Steinway,39,QN72,
"Dongan Hills,South Beach",40,SI36,
"Douglaston,Little Neck",41,QN45,
"DUMBO,Vinegar Hill,Downtown Brooklyn,Boerum Hill",42,BK38,
Dyker Heights,43,BK30,
East Elmhurst,44,QN27,
East Flatbush,45,"BK95,BK91,BK96",
East Harlem,46,"MN34,MN33",
East Morrisania,47,BX75,
East New York,48,"BK85,BK82,BK93",
East Village,49,MN22,
"Eastchester,Baychester,Edenwald",50,BX03,
Elmhurst,51,"QN50,QN29",
"Eltingville,Great Kills,""Bay Terrace, Staten Island""",52,SI54,
Flatbush,53,BK42,
Flatlands,54,BK58,
Flushing,55,"QN22,QN52,QN51,QN62,QN38",
Fordham,56,"BX05,BX40",
Forest Hills,57,QN17,
Fort Greene,58,BK68,
"Fort Hamilton,Bay Ridge",59,BK31,
Fresh Meadows,60,"QN48,QN41",
Glen Oaks,61,QN44,
Glendale,62,QN19,
"Gowanus,Park Slope,South Slope",63,BK37,
Gramercy,64,MN21,
Gravesend,65,"BK26,BK29",
Greenpoint,66,BK76,
"Grymes Hill,Tompkinsville",67,SI08,
Harlem,68,"MN04,MN06,MN03",
Hell's Kitchen,69,MN15,
"Highbridge,Mount Eden",70,BX26,
Hollis,71,QN07,
Hollis Hills,72,QN42,
Howard Beach,73,QN57,
"Howland Hook,Port Ivory,Mariners Harbor,Graniteville",74,SI12,
Hunts Point,75,BX27,
Jackson Heights,76,QN28,
Jamaica,77,"QN01,QN61,QN76",
"Jamaica Estates,Holliswood",78,QN06,
Kensington,79,BK41,
Kew Gardens,80,QN60,
Kew Gardens Hills,81,QN37,
"Kingsbridge,Spuyten Duyvil",82,"BX30,BX29,BX28",
"Kips Bay,Murray Hill",83,MN20,
Laurelton,84,QN66,
Long Island City,85,QN68,
Longwood,86,BX33,
"Lower East Side,Alphabet City",87,MN28,
"Manhattan Beach,Sheepshead Bay,Gerritsen Beach",88,"BK17,BK44,BK25",
"Marble Hill,Inwood",89,MN01,
Melrose,90,BX34,
Middle Village,91,QN21,
"Midtown,Theater District",92,"MN17,MN19",
Midwood,93,"BK46,BK43",
"Mill Basin,Bergen Beach",94,BK45,
Morningside Heights,95,MN09,
Morrisania,96,BX35,
"Mott Haven,Port Morris",97,BX39,
Mount Hope,98,BX41,
Navy Yard,99,,
"New Dorp,New Dorp Beach,Grant City,Midland Beach",100,SI45,
"New Springville,Lighthouse Hill,Todt Hill",101,SI24,
"North Riverdale,Fieldston,Riverdale",102,BX22,
Norwood,103,BX43,
Ozone Park,104,QN56,
Parkchester,105,BX08,
"Pelham Bay,Van Nest,Bronxdale,Morris Park",106,"BX37,BX49",
Port Richmond,107,SI28,
"Prince's Bay,Huguenot",108,SI01,
Prospect Heights,109,BK64,
Prospect-Lefferts Gardens,110,BK60,
Queens Village,111,QN34,
"Randall Manor,New Brighton,St. George",112,SI22,
"Red Hook,Columbia St,Carroll Gardens",113,BK33,
Rego Park,114,QN18,
Richmond Hill,115,QN54,
"Richmondtown,Oakwood",116,SI25,
Ridgewood,117,QN20,
"Rockaway Beach,Arverne,Edgemere",118,QN12,
Rosedale,119,QN05,
"Rossville,Woodrow",120,SI32,
"Sea Gate,Coney Island",121,BK21,
Soundview,122,BX55,
South Ozone Park,123,QN55,
Springfield Gardens,124,"QN02,QN03",
St. Albans,125,QN08,
"Stapleton,Clifton,Rosebank,Shore Acres",126,SI37,
Stuyvesant Town,127,MN50,
"Sunnyside,Maspeth",128,"QN31,QN30",
Sunset Park,129,"BK32,BK34",
"Throgs Neck,Schuylerville,Country Club",130,BX52,
"Tremont,West Farms",131,BX17,
"Tribeca,Civic Center,Soho,Little Italy,Nolita",132,MN24,
Unionport,133,BX59,
"University Heights,Morris Heights",134,BX36,
"Upper East Side,Roosevelt Island",135,"MN31,MN32,MN40",
Upper West Side,136,"MN12,MN14",
"Wakefield,Woodlawn",137,BX62,
Washington Heights,138,"MN36,MN35",
"West Brighton,Silver Lake",139,SI35,
"West Village,Greenwich Village,Noho",140,MN23,
Westchester Square,141,BX46,
Whitestone,142,QN49,
"Williamsbridge,Olinville",143,BX44,
Williamsburg,144,"BK73,BK72,BK90",
Windsor Terrace,145,BK40,
Woodhaven,146,QN53,
Woodside,147,QN63,
