neighborhood_id,kmean,kmean_qual,kmean_quant
1,0,3,2
2,1,6,6
3,2,2,1
4,1,6,1
5,5,5,5
6,1,6,6
7,1,6,4
8,1,6,2
9,2,2,2
10,1,6,4
11,0,3,0
12,1,6,1
13,1,6,1
14,1,6,6
15,7,3,4
16,1,6,1
17,5,5,5
18,3,3,3
19,2,2,0
20,3,3,3
21,3,3,3
22,0,3,0
23,1,6,6
24,6,0,6
25,5,5,5
26,1,1,6
27,5,5,7
28,2,2,6
29,0,3,0
30,2,2,5
31,3,3,3
32,1,3,4
33,6,6,6
34,0,7,0
35,0,7,0
36,7,3,0
37,2,2,3
38,0,3,0
39,5,2,5
40,6,6,6
41,1,6,4
42,2,5,5
43,1,6,1
44,7,7,0
45,3,3,3
46,7,7,2
47,0,3,0
48,3,3,2
49,5,5,5
50,3,3,3
51,7,7,7
52,6,6,6
53,2,2,2
54,3,3,3
55,7,7,7
56,0,7,0
57,1,7,1
58,2,5,2
59,2,2,1
60,1,6,4
62,1,7,6
63,2,2,5
64,5,5,5
65,1,6,1
66,5,2,5
67,1,6,2
68,2,5,2
69,5,5,5
70,0,7,0
71,3,3,3
73,1,3,6
74,1,6,2
75,0,3,0
76,7,7,4
77,3,3,2
78,1,3,4
79,7,7,1
80,1,7,1
81,1,6,1
82,7,7,2
83,5,5,5
84,3,3,3
85,7,5,2
86,0,3,0
87,2,2,2
88,1,6,1
89,7,7,0
90,0,2,0
91,1,3,6
92,5,5,5
93,1,6,1
94,1,3,6
95,5,5,5
97,0,7,0
98,0,3,0
100,6,6,6
101,1,3,6
102,1,7,6
103,0,3,0
105,0,3,0
106,7,3,2
107,7,3,1
108,6,6,6
109,2,2,5
110,3,3,3
111,3,3,3
112,2,2,2
113,2,2,5
114,1,3,4
115,7,3,4
116,6,6,6
117,7,2,4
118,1,6,2
120,4,4,6
121,1,6,2
122,0,3,0
123,7,3,4
124,3,3,3
125,3,3,3
126,1,6,1
127,5,5,5
128,7,7,4
129,7,7,7
130,7,7,6
131,0,6,0
132,5,5,5
133,0,3,0
134,0,3,0
135,5,2,5
136,5,5,5
137,3,3,3
138,7,7,0
139,1,6,6
140,5,5,5
141,0,3,2
142,1,6,6
143,3,3,3
144,2,2,1
145,2,5,6
146,7,3,4
