Unique Identifier,AdultCareFacilities,Clinics,CommunityHealthCenters,DiagnosticTreatmentCenters,Hospitals,NursingHomes,SchoolBasedHealthFacilities,Daycares,TotalPop,shape_area,rating_b,FemalePopPercent,PopU18PopPercent,Pop18t24PopPercent,Pop25t44PopPercent,Pop45t64PopPercent,Pop65plPopPercent,HispanicPopPercent,WhiteNonHispPopPercent,BlackNonHispPopPercent,AsianPIPopPercent,OtherRacePopPercent,ForeignBornPopPercent,LimitedEngPopPercent,EduLessThanHSPopPercent,PovertyPopPercent,FoodStampSNAPPopPercent,UnemploymentPopPercent,DisabilityPopPercent,DisabilityVisionPopPercent,DisabilityCognitivePopPercent,DisabilityAmbulatoryPopPercent,DisabilitySelfCarePopPercent,DisabilityIndepLivPopPercent,HealthInsPopPercent,MedicaidEnrollPopPercent,AlcoholRetailersPopPercent,TobaccoRetailersPopPercent,FelonyCrimePopPercent,PropertyCrimePopPercent,ViolentCrimePopPercent,JailIncarcerationPopPercent,AssaultHospPopPercent,AlcoholHospPopPercent,DrugHospPopPercent,PsychHospPopPercent,StrokeHospPopPercent,HIVPopPercent,HepBPopPercent,HepCPopPercent,TBPopPercent,GonorrheaPopPercent,SyphilisPopPercent,PrematureMortalityPopPercent
1,2,1,0,4,0,7,0,95,69435,46878491.85,7.045550528,51.22370274,22.72754951,9.720036005,27.94758551,25.23121625,14.32486498,41.59919781,18.77343271,30.83872975,6.501162238,2.389981998,36.48881976,20.65277454,24.41636927,19.51154029,27.72173832,14.35626125,15.04758551,3.54874775,6.132558508,9.196333261,3.910018002,5.961270253,86.13354072,37.33542306,0.12240072,0.089225405,1.436511702,0.787379276,0.373005401,0.449633326,0.075402865,1.22600553,1.063442852,0.676278751,0.349522638,0.028723081,0.06608954,0.106615387,0.005771288,0.184327385,0.034544017,0.181909756
2,0,0,0,0,0,0,0,8,25602,50410816.25,6.936363636,50.5,21,9.2,26.7,30.3,12.8,11.9,79.6,1.4,6.3,0.9,15.3,6.3,8.9,5.3,4.2,8,8.1,0.9,1.9,5.2,1.8,3,96.4,14.1,0.027,0.012,0.55,0.19,0.08,0.16,0.0181,0.5969,0.519,0.5225,0.2876,0,0.0124,0.0425,0.0039,0,0,0.14
3,0,3,0,4,1,1,1,86,106244,54955110.68,7.13680211,50.08230771,14.08948741,10.20358985,42.52205113,20.97076917,12.30435883,29.44794906,47.03769154,6.30102594,14.68589756,2.5,43.74692312,26.8725641,17.71871823,17.38948741,12.9620515,10.01153853,8.990256391,1.245128195,2.972564098,5.819487218,1.845128195,3.772564098,81.13538459,28.52487199,0.354597427,0.138299998,1.561769229,0.743538459,0.409025639,0.253897444,0.030789487,0.770104104,0.402324623,0.462068719,0.282341289,0.04190564,0.0486,0.071516923,0.008765641,0.185411794,0.054593332,0.134602052
4,0,1,0,1,0,1,0,23,32002,20534621.2,6.415841584,49.1,20.2,7.4,31.7,24.7,15.9,15.2,47.2,1.2,35.2,1.2,46.8,41.7,25,15.8,16,7.9,11.1,2.8,4.1,7.4,3.8,5.1,88.4,41,0.15,0.1,0.97,0.46,0.23,0.17,0.0197,0.4581,0.2965,0.3145,0.261,0,0.1909,0.0879,0.0146,0.0219,0,0.1264
5,0,0,0,2,1,0,0,39,42485,19014299.22,6.069053708,51.6,13.8,11,52.9,16,6.4,9.1,65.3,2.9,19.7,3,29.3,7.3,4.1,7.6,1.5,4.3,3.9,0.6,1.3,2.4,1,1.6,94.5,11.1,0.619,0.228,1.62,1.11,0.21,0.15,0.0199,0.6305,0.3816,0.3304,0.2728,0.0287,0.0584,0.0627,0.0039,0.1624,0.0447,0.0792
6,0,0,0,0,0,0,0,7,22060,46292591.07,6.971698113,52.8,14.8,7.4,22,30.3,25.5,8.5,67.7,0.4,20.9,2.5,29.6,17.8,8.8,7.2,3.7,10.2,14.3,1.4,4.2,9.7,4.1,6.8,94,13.6,0.118,0.041,0.54,0.28,0.1,0.09,0,0.2535,0.1245,0.3567,0.2877,0,0.0503,0.0389,0.003,0.0204,0,0.0927
7,0,0,0,4,0,2,0,50,46667,80798590.96,6.579904306,52,19.3,7.2,27.3,29.6,16.7,14.9,41.5,1.7,38.6,3.2,42.5,29.2,11.5,7.3,5.4,8.4,8.6,1.2,2.7,4.6,1.6,3.8,89.3,21.6,0.238,0.077,1.08,0.62,0.23,0.1,0.0124,0.199,0.1509,0.3016,0.2069,0.0021,0.0838,0.0489,0.0021,0.0225,0,0.0725
8,5,3,0,3,1,8,2,93,52266,54160419.83,7.157068063,53.3,28.4,10.5,24.8,22.7,13.4,27.8,25.2,42,3,2.1,34.4,19.5,29.1,23.2,37.1,10.2,15.8,6,5.3,9,4.1,6.1,86.5,42.8,0.067,0.061,2.03,0.76,0.56,0.71,0.07,0.8054,0.6062,1.34,0.4088,0.0211,0.0476,0.0983,0.0013,0.1158,0.0124,0.2344
9,0,2,1,6,0,1,3,202,137830,64036724.03,7.384899117,53.09127621,27.07352246,11.37227454,31.67632446,20.83862729,8.939251252,19.39595008,18.70218965,57.63363564,2.508099833,1.71214975,19.92367554,12.48972212,23.21962563,31.70934775,34.90467387,15.02305159,10.72772546,2.904049917,3.791900167,6.715575709,2.323675542,3.627725459,87.65669883,43.98816803,0.18847975,0.139439251,3.232647754,1.4851401,0.892367554,1.127102663,0.107299353,1.361483401,1.491675798,0.930425443,0.418957958,0.056787532,0.048301554,0.118108712,0.006550777,0.309052308,0.084164481,0.259624288
10,0,1,0,0,0,0,0,13,26609,55184283.9,6.575342466,51.5,20.3,10.1,26,30.4,13.2,19.8,30.6,5.7,39.8,4.1,41.6,23.4,12.8,10.5,5.9,6.7,10.8,1.8,3.8,6.1,2.9,5.7,91,24.4,0.105,0.041,0.96,0.51,0.15,0.17,0.0222,0.7529,0.5837,1.6918,0.2158,0.0038,0.04,0.0689,0.0088,0.0319,0.0113,0.0919
