,neighborhood_id,neighborhood,num_listings,price_norm,airport,art,artists,bars,beautiful,beer,bike,boardwalk,botanical,cafes,charming,chinese,churches,coffee,community,cute,diverse,family,ferry,food,friendly,galleries,garden,grocery,historic,hospitals,museum,museums,night,nightlife,parks,pier,pizza,quaint,quiet,residential,restaurants,safe,schools,seafood,shopping,shops,stadium,stores,train,views,walkability,zoo,Unique Identifier,AdultCareFacilities,Clinics,CommunityHealthCenters,DiagnosticTreatmentCenters,Hospitals,NursingHomes,SchoolBasedHealthFacilities,Daycares,TotalPop,shape_area,rating_b,FemalePopPercent,PopU18PopPercent,Pop18t24PopPercent,Pop25t44PopPercent,Pop45t64PopPercent,Pop65plPopPercent,HispanicPopPercent,WhiteNonHispPopPercent,BlackNonHispPopPercent,AsianPIPopPercent,OtherRacePopPercent,ForeignBornPopPercent,LimitedEngPopPercent,EduLessThanHSPopPercent,PovertyPopPercent,FoodStampSNAPPopPercent,UnemploymentPopPercent,DisabilityPopPercent,DisabilityVisionPopPercent,DisabilityCognitivePopPercent,DisabilityAmbulatoryPopPercent,DisabilitySelfCarePopPercent,DisabilityIndepLivPopPercent,HealthInsPopPercent,MedicaidEnrollPopPercent,AlcoholRetailersPopPercent,TobaccoRetailersPopPercent,FelonyCrimePopPercent,PropertyCrimePopPercent,ViolentCrimePopPercent,JailIncarcerationPopPercent,AssaultHospPopPercent,AlcoholHospPopPercent,DrugHospPopPercent,PsychHospPopPercent,StrokeHospPopPercent,HIVPopPercent,HepBPopPercent,HepCPopPercent,TBPopPercent,GonorrheaPopPercent,SyphilisPopPercent,PrematureMortalityPopPercent
0,1,Allerton,77,31.00636982,0.017857143,0.0,0.0,0.0,0.053571429000000004,0.0,0.035714286,0.0,0.25,0.0,0.017857143,0.089285714,0.0,0.0,0.25,0.0,0.017857143,0.089285714,0.0,0.14285714300000002,0.017857143,0.0,0.23214285699999998,0.089285714,0.0,0.089285714,0.035714286,0.0,0.017857143,0.0,0.28571428600000004,0.0,0.035714286,0.0,0.35714285700000004,0.125,0.33928571399999996,0.28571428600000004,0.0,0.0,0.16071428599999998,0.16071428599999998,0.089285714,0.125,0.14285714300000002,0.0,0.0,0.428571429,1,2,1,0,4,0,7,0,95,69435,46878491.85,7.045550528,51.22370274,22.72754951,9.720036005,27.94758551,25.23121625,14.32486498,41.59919781,18.77343271,30.83872975,6.501162237999999,2.389981998,36.48881976,20.65277454,24.41636927,19.51154029,27.72173832,14.35626125,15.04758551,3.54874775,6.132558508,9.196333261,3.9100180019999997,5.9612702529999995,86.13354072,37.33542306,0.12240072,0.089225405,1.4365117019999998,0.7873792759999999,0.373005401,0.449633326,0.075402865,1.22600553,1.063442852,0.6762787509999999,0.349522638,0.028723081,0.06608954,0.10661538699999999,0.005771288,0.184327385,0.034544017,0.181909756
1,2,Arden Heights,5,28.17,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,8,25602,50410816.25,6.936363636,50.5,21.0,9.2,26.7,30.3,12.8,11.9,79.6,1.4,6.3,0.9,15.3,6.3,8.9,5.3,4.2,8.0,8.1,0.9,1.9,5.2,1.8,3.0,96.4,14.1,0.027000000000000003,0.012,0.55,0.19,0.08,0.16,0.0181,0.5969,0.519,0.5225,0.2876,0.0,0.0124,0.0425,0.0039,0.0,0.0,0.14
2,3,Astoria,919,59.32440325,0.042372880999999994,0.020338983,0.011864406999999999,0.488135593,0.057627119000000004,0.083050847,0.005084745999999999,0.0,0.0,0.123728814,0.011864406999999999,0.016949153,0.001694915,0.162711864,0.054237288,0.008474576,0.162711864,0.037288136,0.008474576,0.255932203,0.072881356,0.010169491999999999,0.054237288,0.122033898,0.008474576,0.0,0.225423729,0.052542372999999996,0.06440678,0.040677966,0.098305085,0.0,0.006779661,0.0,0.161016949,0.038983051,0.6966101690000001,0.223728814,0.001694915,0.015254237,0.106779661,0.206779661,0.0,0.20338983100000002,0.133898305,0.038983051,0.0,0.003389831,3,0,3,0,4,1,1,1,86,106244,54955110.68,7.13680211,50.08230771,14.08948741,10.20358985,42.52205113,20.97076917,12.30435883,29.44794906,47.03769154,6.30102594,14.68589756,2.5,43.74692312,26.8725641,17.71871823,17.38948741,12.9620515,10.01153853,8.990256391,1.245128195,2.9725640980000003,5.819487218,1.845128195,3.772564098,81.13538459,28.52487199,0.354597427,0.138299998,1.561769229,0.743538459,0.409025639,0.25389744399999997,0.030789487,0.7701041040000001,0.402324623,0.46206871899999996,0.282341289,0.04190564,0.0486,0.071516923,0.008765641,0.185411794,0.054593332,0.134602052
3,4,Bath Beach,27,40.01851852,0.052631579000000005,0.0,0.0,0.052631579000000005,0.052631579000000005,0.0,0.15789473699999998,0.052631579000000005,0.0,0.0,0.0,0.10526315800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052631579000000005,0.0,0.0,0.052631579000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052631579000000005,0.0,0.0,0.0,0.15789473699999998,0.15789473699999998,0.36842105299999994,0.15789473699999998,0.0,0.0,0.052631579000000005,0.15789473699999998,0.0,0.0,0.052631579000000005,0.0,0.0,0.0,4,0,1,0,1,0,1,0,23,32002,20534621.2,6.415841584,49.1,20.2,7.4,31.7,24.7,15.9,15.2,47.2,1.2,35.2,1.2,46.8,41.7,25.0,15.8,16.0,7.9,11.1,2.8,4.1,7.4,3.8,5.1,88.4,41.0,0.15,0.1,0.97,0.46,0.23,0.17,0.0197,0.4581,0.2965,0.3145,0.261,0.0,0.1909,0.0879,0.0146,0.0219,0.0,0.1264
4,5,Financial District,832,84.43009386,0.029801325,0.001655629,0.0,0.09602649,0.033112583,0.003311258,0.031456954,0.0,0.0,0.023178808,0.026490066,0.004966887,0.0,0.301324503,0.003311258,0.006622517,0.004966887,0.008278146,0.062913907,0.043046358,0.008278146,0.001655629,0.003311258,0.32781457,0.11258278099999999,0.0,0.039735098999999996,0.008278146,0.029801325,0.009933775,0.034768212,0.021523179,0.003311258,0.003311258,0.043046358,0.026490066,0.22847682100000002,0.01986755,0.0,0.0,0.10264900699999999,0.048013245,0.0,0.021523179,0.018211921000000002,0.07781457,0.490066225,0.0,5,0,0,0,2,1,0,0,39,42485,19014299.22,6.069053707999999,51.6,13.8,11.0,52.9,16.0,6.4,9.1,65.3,2.9,19.7,3.0,29.3,7.3,4.1,7.6,1.5,4.3,3.9,0.6,1.3,2.4,1.0,1.6,94.5,11.1,0.619,0.228,1.62,1.11,0.21,0.15,0.0199,0.6305,0.3816,0.3304,0.2728,0.0287,0.0584,0.0627,0.0039,0.1624,0.0447,0.0792
5,6,Bay Terrace,6,124.81666670000001,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.2,0.4,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,7,22060,46292591.07,6.9716981129999995,52.8,14.8,7.4,22.0,30.3,25.5,8.5,67.7,0.4,20.9,2.5,29.6,17.8,8.8,7.2,3.7,10.2,14.3,1.4,4.2,9.7,4.1,6.8,94.0,13.6,0.11800000000000001,0.040999999999999995,0.54,0.28,0.1,0.09,0.0,0.2535,0.1245,0.3567,0.2877,0.0,0.0503,0.0389,0.003,0.0204,0.0,0.0927
6,7,Bayside,41,33.48990999,0.0,0.037037037,0.0,0.222222222,0.185185185,0.0,0.037037037,0.0,0.037037037,0.0,0.0,0.074074074,0.0,0.037037037,0.037037037,0.0,0.037037037,0.037037037,0.0,0.037037037,0.074074074,0.0,0.037037037,0.148148148,0.074074074,0.0,0.037037037,0.0,0.185185185,0.111111111,0.0,0.0,0.074074074,0.0,0.333333333,0.074074074,0.62962963,0.333333333,0.0,0.037037037,0.222222222,0.074074074,0.0,0.185185185,0.037037037,0.111111111,0.0,0.074074074,7,0,0,0,4,0,2,0,50,46667,80798590.96,6.579904306,52.0,19.3,7.2,27.3,29.6,16.7,14.9,41.5,1.7,38.6,3.2,42.5,29.2,11.5,7.3,5.4,8.4,8.6,1.2,2.7,4.6,1.6,3.8,89.3,21.6,0.23800000000000002,0.077,1.08,0.62,0.23,0.1,0.0124,0.19899999999999998,0.1509,0.3016,0.2069,0.0021,0.0838,0.0489,0.0021,0.0225,0.0,0.0725
7,8,Far Rockaway,51,37.04330065,0.193548387,0.09677419400000001,0.032258065,0.0,0.193548387,0.0,0.0,0.322580645,0.0,0.0,0.0,0.0,0.0,0.032258065,0.09677419400000001,0.0,0.09677419400000001,0.0,0.09677419400000001,0.0,0.032258065,0.0,0.032258065,0.0,0.032258065,0.129032258,0.064516129,0.0,0.032258065,0.0,0.09677419400000001,0.0,0.0,0.0,0.032258065,0.09677419400000001,0.161290323,0.032258065,0.0,0.0,0.225806452,0.0,0.0,0.064516129,0.129032258,0.09677419400000001,0.0,0.0,8,5,3,0,3,1,8,2,93,52266,54160419.83,7.157068063,53.3,28.4,10.5,24.8,22.7,13.4,27.8,25.2,42.0,3.0,2.1,34.4,19.5,29.1,23.2,37.1,10.2,15.8,6.0,5.3,9.0,4.1,6.1,86.5,42.8,0.067,0.061,2.03,0.76,0.56,0.71,0.07,0.8054,0.6062,1.34,0.4088,0.0211,0.0476,0.0983,0.0013,0.1158,0.0124,0.2344
8,9,Bedford-Stuyvesant,3785,42.17074422,0.004676539,0.06975837900000001,0.055339049,0.42556508200000004,0.148869836,0.011301637,0.020265004,0.00038971199999999996,0.022213562000000003,0.17809820699999998,0.018316446,0.008183944,0.01441933,0.27708495699999997,0.133671083,0.025331255,0.119641465,0.030397506,0.0,0.145752143,0.090413094,0.042478565999999995,0.025720966,0.123538581,0.19602494199999998,0.000779423,0.046375682,0.026890101,0.051441932999999995,0.027279812999999997,0.065861263,0.0,0.054949337,0.008963367,0.091971941,0.059236165,0.558846454,0.099376461,0.003117693,0.00233827,0.060795012,0.26344505100000004,0.001169135,0.133671083,0.16406858900000001,0.006625097,0.0,0.003507405,9,0,2,1,6,0,1,3,202,137830,64036724.03,7.384899117000001,53.09127621,27.07352246,11.37227454,31.67632446,20.83862729,8.939251252,19.39595008,18.70218965,57.63363564,2.508099833,1.71214975,19.92367554,12.48972212,23.21962563,31.70934775,34.90467387,15.02305159,10.72772546,2.904049917,3.791900167,6.7155757089999994,2.3236755419999997,3.6277254589999997,87.65669883,43.98816803,0.18847975,0.139439251,3.232647754,1.4851401000000002,0.892367554,1.127102663,0.10729935300000001,1.3614834009999999,1.4916757980000002,0.930425443,0.41895795799999996,0.056787532,0.048301554000000003,0.11810871199999999,0.006550777,0.309052308,0.084164481,0.259624288
9,10,Bellerose,11,44.75151515,0.222222222,0.0,0.0,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111,0.0,0.0,0.222222222,0.0,0.111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111111111,0.0,0.111111111,0.0,0.0,0.0,0.666666667,0.0,0.222222222,0.111111111,0.111111111,0.0,0.111111111,0.222222222,0.0,0.0,0.0,0.0,0.0,0.0,10,0,1,0,0,0,0,0,13,26609,55184283.9,6.575342466,51.5,20.3,10.1,26.0,30.4,13.2,19.8,30.6,5.7,39.8,4.1,41.6,23.4,12.8,10.5,5.9,6.7,10.8,1.8,3.8,6.1,2.9,5.7,91.0,24.4,0.105,0.040999999999999995,0.96,0.51,0.15,0.17,0.0222,0.7529,0.5837,1.6918,0.2158,0.0038,0.04,0.0689,0.0088,0.0319,0.0113,0.0919
